student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0153,G152,1,0,1,0.27,0.64,87,0.42,0.4,0.6,0.72,0.67
user0189,G152,1,0,1,0.27,1,92,0.67,0.75,0.73,0.72,0.67
user0166,G152,1,0,1,0.09, ,87,0.83,0.35,0.93,0.83,0.83
user0181,G152,1,0,1,0.55, ,93,0.58,0.6,0.67,0.78,0.67
user0183,G152,1,0,1,0.18, ,91,0.5,0.4,0.53,0.78,0.67
user0188,G152,1,0,0,0.09, ,48,0.58,0.65,0.67,0.78,0.72
user0142,G152,1,0,1,0.09,0.09,94,0.5,0.7,0.6,0.83,0.83
user0191,G152,1,0,0,0.09,0.55,48,0.08,0.05,0.73,0.78,0.89
user0131,G152,1,0,1,0.18,0.64,92,0.5,0.4,0.67,0.61,0.61
user0165,G152,1,0,1,0,0,83,0.5,0.5,0.33,0.56,0.5
user0138,G152,1,0,1,0.09,0.91,88,0.58,0.75,0.73,0.89,0
user0149,G152,1,0,0,0.18,0.55,69,0.92,0.5,0.93,0.83,0.28
user0151,G152,1,0,0,0.09,0.45,72,0.42,0.4,0.33,0.78,0.61
user0210,G152,0,0,0,0.18, ,-1,0.33,0.45,0.67,0.67,0.67
user0199,G152,1,0,1,0.27,0.45,99,0.5,0.5,0.67,0.67,0.72
user0128,G152,0,0,1,0.09, ,-1,0.42,0.45,0.6,0.78,0.67
user0169,G152,1,0,1,0.18, ,77,0.67,0.95,1,1,1
user0206,G152,0,0,0,0.18, ,-1,0.75,0.7,0.67,0.83,0.83
user0141,G152,1,0,1,0.18,0.73,97,0.67,0.65,0.73,0.83,1
user0145,G152,1,0,1,0,0.64,87,0.5,0.45,0.6,0.83,0.83
user0152,G152,1,0,0,0.27,0.91,97,0.5,0.5,0.8,0.78,0.67
user0160,G152,1,0,1,0.27,0.36,95,0.58,0.6,0.6,0.83,0.83
user0164,G152,1,0,1,0.18,0.73,99,0.5,0.35,0.6,1,0.94
user0167,G152,1,0,0,1,0.73,99,0.75,0.75,0.67,0.78,0.67
user0170,G152,1,0,1,0.82,0.82,97,1,0.9,1,0.94,0.67
user0173,G152,1,0,1,0.18,1,65,0.42,0.55,0.6,0.78,0.72
user0176,G152,1,0,1,0.64, ,76,0.58,0.7,0.93,0.78,0.67
user0332,G153,0,0, , , ,-1, , , , , 
